id,símbolo,nombre,precio_usd,market_cap_usd,volumen_24h_usd,variación_24h_pct
aeon,aeon,Aeon,0.140963,0.0,14.1,1.65523
aave-polygon-usdt,amusdt,Aave Polygon USDT,1.002,0.0,523217.0,0.1196
alicenet,alca,AliceNet,0.00133056,0.0,520.84,
a-gently-used-nokia-3310,usedphone,A Gently Used Nokia 3310,1.201e-05,0.0,200.58,0.0
aave-tusd,atusd,Aave TUSD,0.997207,0.0,0.0,0.05507
apollo-ftw,ftw,Apollo FTW,0.00065455,0.0,3.68,
aave-v3-dpi,adpi,Aave v3 DPI,94.52,0.0,0.0,2.13085
aave-usdc,ausdc,Aave v2 USDC,0.999231,0.0,105504.0,0.27315
9inch,9inch,9inch,1.05e-06,0.0,25139.0,4.05225
arqx-ai,arqx,ARQx AI,0.00032806,0.0,107.2,2.95264
abble,aabl,Abble,0.00057608,0.0,17735.15,-5.80393
adadao,adao,ADADao,0.00053348,0.0,2.13,1.05385
aave-bat-v1,abat,Aave BAT v1,0.129545,0.0,0.0,1.37217
a-gently-used-2001-honda,usedcar,A Gently Used 2001 Honda,0.00164151,0.0,20992.0,-1.92496
abcphar,abcphar,abcPHAR,302.33,0.0,49258.0,0.52711
aave-amm-uniaaveweth,aammuniaaveweth,Aave AMM UniAAVEWETH,2631.02,0.0,0.0,3.31153
aave-v3-link,alink,Aave v3 LINK,13.62,0.0,107996.0,2.0727
adonis-2,adon,Adonis,0.999147,0.0,980348.0,0.0015
1reward-token,1rt,1Reward Token,0.03621792,0.0,11.23,
0x-leverage,oxl,0x Leverage,0.00056949,0.0,507.2,5.59052
ai-meta-club,amc,AI Meta Club,0.511162,0.0,46564.0,-0.63769
ai-x,x,AI-X,1.7346e-11,0.0,0.0,-0.63554
2080,2080,2080,0.00123433,0.0,27.24,3.92723
aisignal,aisig,AISignal,0.00027495,0.0,24.85,-0.78454
aave-v3-sdai,asdai,Aave v3 sDAI,0.999904,0.0,0.0,-0.00414
agnus-ai,agn,Agnus AI,3.81e-06,0.0,62.1,
abel-finance,abel,ABEL Finance,0.00444574,0.0,16287.74,0.02635
1sol,1sol,1Sol,0.00210064,0.0,10.27,0.01501
